MATR_ALUNO;COD_CURSO;CURSO;NOME_CURSO;COD_ATIV_CURRIC;NOME_ATIV_CURRIC;MEDIA_FINAL;DESCR_SITUACAO_1;ANO;DESCR_PERIODO;SITUACAO_ITEM;PERIODIZADO;FORMA_INGRESSO;PSELETIVO;COTA;ANO_INGRESSO;EXP_PROG;REPET;IEM012;IEM011;SEXO;IDADE;NU_NOTA_L;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_M;NU_NOTA_R;MedEnem;CR;N_LOGINS;N_TESTES;N_SUBMISSOES;N_EX_CORRETOS;N_EX_NCORRETOS;TOTAL_TEMPO_IDE_SEG
21600609;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,12;Aprovado;2016; 1° Semestre;1;yes;SISU - NDC1 (Esc. Pub., Renda até 1.5);SISU;Renda;2016;yes;0;2,07;5,71;M;21;593,4;604;588,1;653,1;760;639,72;6,095;88;225;184;74;0;41955
21602276;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,39;Reprovado por Nota;2016; 1° Semestre;2;yes;PSC - AC (Ampla Concorrência);PSC;AC;2016;no;0;0;3,44;M;18;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;3,888333333;71;428;496;64;0;17745
21602272;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;1,64;Reprovado por Nota;2016; 1° Semestre;2;yes;PSC - AC (Ampla Concorrência);PSC;AC;2016;no;0;6,77;5,58;M;17;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;6,736666667;46;4;195;65;3;9932
21602280;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;1,45;Reprovado por Nota;2016; 1° Semestre;2;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2016;yes;0;0,67;5,1;F;18;494,6;537,3;430,4;352,7;600;483;4,943333333;52;111;250;75;0;18473
21601487;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;1,65;Reprovado por Nota;2016; 1° Semestre;2;yes;SISU - PPI1 (Esc. Pub., Renda até 1.5);SISU;Renda;2016;#N/D;0;0;0,56;M;18;567,6;595;584,4;637,7;680;612,94;1,065;20;56;71;24;0;14876
21650278;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;5,11;Aprovado;2016; 1° Semestre;1;yes;PSC - PPI2 (Esc. Pub., Independe Renda);PSC;NRenda;2016;no;0;1,43;5,47;F;18;517,4;558,2;439;487,4;560;512,4;4,903333333;63;30;149;74;0;15669
21600654;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;5,84;Aprovado;2016; 1° Semestre;1;yes;SISU - NDC2 (Esc. Pub., Independe Renda);SISU;NRenda;2016;yes;0;5,63;5,56;M;23;629,2;683,1;669,2;698,6;720;680,02;6,628333333;40;34;154;74;1;9824
21602273;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;2,63;Reprovado por Nota;2016; 1° Semestre;2;yes;PSC - AC (Ampla Concorrência);PSC;AC;2016;no;0;0,83;0,77;F;16;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;4,406666667;67;384;171;64;7;36361
21602279;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;3,12;Reprovado por Nota;2016; 1° Semestre;2;yes;PSC - PPI1 (Esc. Pub., Renda até 1.5);PSC;Renda;2016;yes;0;0,6;5,14;M;18;533,2;543,3;541,4;483,7;720;564,32;3,901666667;70;222;264;75;0;28479
21601218;FT08;FT08;Engenharia de Materiais;IEC037;INTRODUÇÃO A PROGRAMAÇÃO DE COMPUTADORES;7,55;Aprovado;2016; 1° Semestre;1;yes;SISU - AC (Ampla Concorrência);SISU;AC;2016;no;0;1,6;2,13;M;17;601;715,1;616,2;643;760;667,06;4,955;53;222;251;66;1;23188
